code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
CFA AR 412,Architectural Design 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
CFA AR 425,The Artist and the Book,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CFA AR 428,Architecture Site Design 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
CFA AR 432,Advanced Drawing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 447,Printmaking 1: Etching & Monotype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA AR 450,The Art of the Multiple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CFA AR 451,Printmaking: Advanced Projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 452,Printmaking 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 455,Elementary Methods of Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 456,Elementary Pre-Practicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 460,Secondary Methods of Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 461,Directed Study Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 462,Secondary Pre-Practicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 469,Color,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 470,Ceramics 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CFA AR 471,Ceramics 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 480,Senior Capstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 483,Senior Graphic Design: Collaboration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 484,Senior Graphic Design Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CFA AR 487,Junior Typography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 497,Junior Type: Motion + Interactivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 500,Directed Study: Drawing Elective,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 502,Branding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 505,Certificate Typography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 508,The Experimental Photograph,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
CFA AR 509,Drawing Trees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 510,Photo Lab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 512,Architectural Design 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
CFA AR 515,Digital Photo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
CFA AR 517,Digital Printmaking: Ink & Pixel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA AR 518,Silkscreen Print,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 521,Site Specific Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 523,Graphic Design Studio Practice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 527,Drawing into Animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 528,Architectural Site Design 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 531,Advanced Projects in Photography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 532,Word And Image,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 533,The Photograph as Story,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 535,Special Topics: Visual Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 540,Relief Printmaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 545,Performative Text and Design,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
CFA AR 547,Principles of Painting Techniques 1 credit Fall term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 548,Principles of Painting Techniques 2 credits Spring term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 551,Processes and Structures I (2 credits; fall semester),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 552,Processes and Structures II (2 credits; spring semester),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 553,Art Education Seminar: Curriculum and Instruction I (4 credits; Fall semester),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 554,Art Education Seminar: Curriculum and Instruction 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CFA AR 555,Practicum I (4 credits; Fall semester),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 556,Practicum II (4 cr. Spring semester),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 557,Practicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 558,Contemporary Issues in Art Education (4 credits; fall semester),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CFA AR 560,Applied Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 565,"Art, Access, and Inclusion (4 credits; spring semester)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CFA AR 569,"Art, Community, and Social Engagement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 571,Exhibition Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 572,Internship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 576,Motion Graphics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 577,Editorial Publication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 580,History of Graphic Design,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CFA AR 581,Web Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 582,Web Design 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 586,Child Development through Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CFA AR 587,Information Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 589,Interactive Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 590,Elementary and Secondary Methods in Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 591,Curriculum Design and Pre-Practicum Seminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 592,Pre-Practicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 593,Design Lab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 594,Graphic Design Theory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 595,Visual Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 596,CFA AR 596 Graphic Design Theory II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 597,Experience Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 600,Contemporary Issues in Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 601,Graduate Typography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 602,Graduate Typography 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 605,Introduction to Research Methods in Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 610,The Inclusive Art Classroom (4 credits),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 620,Curriculum Planning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 621,Site-spec. Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 625,Artist and the Book,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 630,Child Growth and Development in Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 636,Anatomy and Figure Drawing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 638,Drawing Concepts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 639,Figure Drawing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 647,Etching/Monotype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 648,Lithography 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 655,Elementary Methods of Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 656,Elementary Pre-Practicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 660,Secondary Methods of Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 662,Secondary Pre-Practicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 669,Graduate Color,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 670,Advocacy & Policy in Arts Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 675,Spark: Graduate Graphic Design Track,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 680,Art Education Leadership through A Social Justice Lens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
